part,group,material,pieces,size_x_mm,size_y_mm,size_z_mm
retainer_7_0,03 Heads and Valvetrain,titanium,1,26.4,16.8,23.0
retainer_7_1,03 Heads and Valvetrain,titanium,1,26.4,16.8,23.0
retainer_7_2,03 Heads and Valvetrain,titanium,1,26.4,23.0,16.8
retainer_7_3,03 Heads and Valvetrain,titanium,1,26.4,23.0,16.8
retainer_8_0,03 Heads and Valvetrain,titanium,1,26.4,16.8,23.0
retainer_8_1,03 Heads and Valvetrain,titanium,1,26.4,16.8,23.0
retainer_8_2,03 Heads and Valvetrain,titanium,1,26.4,23.0,16.8
retainer_8_3,03 Heads and Valvetrain,titanium,1,26.4,23.0,16.8
sparkplug_1,03 Heads and Valvetrain,anodised,1,12.8,23.8,23.8
sparkplug_2,03 Heads and Valvetrain,anodised,1,12.8,23.8,23.8
sparkplug_3,03 Heads and Valvetrain,anodised,1,12.8,23.8,23.8
sparkplug_4,03 Heads and Valvetrain,anodised,1,12.8,23.8,23.8
sparkplug_5,03 Heads and Valvetrain,anodised,1,12.8,23.8,23.8
sparkplug_6,03 Heads and Valvetrain,anodised,1,12.8,23.8,23.8
sparkplug_7,03 Heads and Valvetrain,anodised,1,12.8,23.8,23.8
sparkplug_8,03 Heads and Valvetrain,anodised,1,12.8,23.8,23.8
tappet_1_0,03 Heads and Valvetrain,steel_nitrided,2,28.0,29.8,32.4
tappet_1_1,03 Heads and Valvetrain,steel_nitrided,2,28.0,29.8,32.4
tappet_1_2,03 Heads and Valvetrain,steel_nitrided,2,28.0,32.4,29.8
tappet_1_3,03 Heads and Valvetrain,steel_nitrided,2,28.0,32.4,29.8
tappet_2_0,03 Heads and Valvetrain,steel_nitrided,2,28.0,29.8,32.4
tappet_2_1,03 Heads and Valvetrain,steel_nitrided,2,28.0,29.8,32.4
tappet_2_2,03 Heads and Valvetrain,steel_nitrided,2,28.0,32.4,29.8
tappet_2_3,03 Heads and Valvetrain,steel_nitrided,2,28.0,32.4,29.8
tappet_3_0,03 Heads and Valvetrain,steel_nitrided,2,28.0,29.8,32.4
tappet_3_1,03 Heads and Valvetrain,steel_nitrided,2,28.0,29.8,32.4
tappet_3_2,03 Heads and Valvetrain,steel_nitrided,2,28.0,32.4,29.8
tappet_3_3,03 Heads and Valvetrain,steel_nitrided,2,28.0,32.4,29.8
tappet_4_0,03 Heads and Valvetrain,steel_nitrided,2,28.0,29.8,32.4
tappet_4_1,03 Heads and Valvetrain,steel_nitrided,2,28.0,29.8,32.4
tappet_4_2,03 Heads and Valvetrain,steel_nitrided,2,28.0,32.4,29.8
